Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Block,,Replication,Nitrogen,Harvesting_Time,Yield(Kg) /plot, t/ha
,,,,,,,,,,,,,,,,,,,,1,1,1,1,N0,HT1,0.9,2.50
,,,,,,,,,,,,,,,,,,,,2,1,2,1,N1,HT1,1.3,3.61
,,,,,,,,,,,,,,,,,,,,3,1,3,1,N2,HT1,3.3,9.17
,,,,,,,,,,,,,,,,,,,,4,1,4,1,N3,HT1,4,11.11
,,,,,,,,,,,,,,,,,,,,5,1,5,1,N0,HT2,1,2.78
,,,,,,,,,,,,,,,,,,,,6,1,6,1,N1,HT2,1.5,4.17
,,,,,,,,,,,,,,,,,,,,7,1,7,1,N2,HT2,3.5,9.72
,,,,,,,,,,,,,,,,,,,,8,1,8,1,N3,HT2,4.5,12.50
,,,,,,,,,,,,,,,,,,,,9,1,9,1,N0,HT3,1.2,3.33
,,,,,,,,,,,,,,,,,,,,10,1,10,1,N1,HT3,2,5.56
,,,,,,,,,,,,,,,,,,,,11,1,11,1,N2,HT3,3.7,10.28
,,,,,,,,,,,,,,,,,,,,12,1,12,1,N3,HT3,5.5,15.28
,,,,,,,,,,,,,,,,,,,,13,2,13,2,N0,HT1,0.7,1.94
,,,,,,,,,,,,,,,,,,,,14,2,14,2,N1,HT1,1,2.78
,,,,,,,,,,,,,,,,,,,,15,2,15,2,N2,HT1,3.2,8.89
,,,,,,,,,,,,,,,,,,,,16,2,16,2,N3,HT1,3.8,10.56
,,,,,,,,,,,,,,,,,,,,17,2,17,2,N0,HT2,0.9,2.50
,,,,,,,,,,,,,,,,,,,,18,2,18,2,N1,HT2,1.25,3.47
,,,,,,,,,,,,,,,,,,,,19,2,19,2,N2,HT2,4,11.11
,,,,,,,,,,,,,,,,,,,,20,2,20,2,N3,HT2,4.8,13.33
,,,,,,,,,,,,,,,,,,,,21,2,21,2,N0,HT3,1,2.78
,,,,,,,,,,,,,,,,,,,,22,2,22,2,N1,HT3,1.8,5.00
,,,,,,,,,,,,,,,,,,,,23,2,23,2,N2,HT3,4,11.11
,,,,,,,,,,,,,,,,,,,,24,2,24,2,N3,HT3,5.9,16.39
,,,,,,,,,,,,,,,,,,,,25,3,25,3,N0,HT1,0.8,2.22
,,,,,,,,,,,,,,,,,,,,26,3,26,3,N1,HT1,1.2,3.33
,,,,,,,,,,,,,,,,,,,,27,3,27,3,N2,HT1,3.5,9.72
,,,,,,,,,,,,,,,,,,,,28,3,28,3,N3,HT1,3.9,10.83
,,,,,,,,,,,,,,,,,,,,29,3,29,3,N0,HT2,1.2,3.33
,,,,,,,,,,,,,,,,,,,,30,3,30,3,N1,HT2,1.6,4.44
,,,,,,,,,,,,,,,,,,,,31,3,31,3,N2,HT2,3.8,10.56
,,,,,,,,,,,,,,,,,,,,32,3,32,3,N3,HT2,5,13.89
,,,,,,,,,,,,,,,,,,,,33,3,33,3,N0,HT3,0.9,2.50
,,,,,,,,,,,,,,,,,,,,34,3,34,3,N1,HT3,1.9,5.28
,,,,,,,,,,,,,,,,,,,,35,3,35,3,N2,HT3,4.2,11.67
,,,,,,,,,,,,,,,,,,,,36,3,36,3,N3,HT3,5.7,15.83
